GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,StadiumID,AwayTeamScore,HomeTeamScore,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,NeutralVenue
15413,2021,2,Final,12/11/2020 12:00:00 AM,12/11/2020 7:00:00 PM,ORL,ATL,5,3,3,116,112,,,,,522,521,False
15414,2021,2,Final,12/11/2020 12:00:00 AM,12/11/2020 7:00:00 PM,NY,DET,6,14,14,90,84,,,,,524,523,False
15415,2021,2,Final,12/11/2020 12:00:00 AM,12/11/2020 8:00:00 PM,HOU,CHI,22,11,11,125,104,,,,,526,525,False
15416,2021,2,Final,12/11/2020 12:00:00 AM,12/11/2020 10:00:00 PM,LAC,LAL,28,27,27,81,87,,,,,530,529,False
15417,2021,2,Final,12/11/2020 12:00:00 AM,12/11/2020 10:30:00 PM,SAC,POR,30,19,19,102,127,,,,,528,527,False
15420,2021,2,Final,12/12/2020 12:00:00 AM,12/12/2020 7:00:00 PM,TOR,CHA,10,2,2,111,100,,,,,536,535,False
15418,2021,2,Final,12/12/2020 12:00:00 AM,12/12/2020 7:00:00 PM,IND,CLE,13,12,12,104,107,,,,,534,533,False
15419,2021,2,Final,12/12/2020 12:00:00 AM,12/12/2020 7:00:00 PM,OKC,SA,18,24,24,121,108,,,,,532,531,False
15421,2021,2,Final,12/12/2020 12:00:00 AM,12/12/2020 8:00:00 PM,DAL,MIL,25,15,15,112,102,,,,,538,537,False
15422,2021,2,Final,12/12/2020 12:00:00 AM,12/12/2020 8:00:00 PM,MEM,MIN,21,16,16,107,105,,,,,540,539,False
15423,2021,2,Final,12/12/2020 12:00:00 AM,12/12/2020 8:30:00 PM,DEN,GS,20,26,26,105,107,,,,,542,541,False
15424,2021,2,Final,12/12/2020 12:00:00 AM,12/12/2020 9:00:00 PM,PHO,UTA,29,17,17,105,119,,,,,544,543,False
15425,2021,2,Final,12/13/2020 12:00:00 AM,12/13/2020 5:00:00 PM,ORL,ATL,5,3,3,107,116,,,,,512,511,False
15426,2021,2,Final,12/13/2020 12:00:00 AM,12/13/2020 6:00:00 PM,WAS,BKN,1,8,8,114,119,,,,,514,513,False
15427,2021,2,Final,12/13/2020 12:00:00 AM,12/13/2020 7:00:00 PM,NY,DET,6,14,14,91,99,,,,,516,515,False
15428,2021,2,Final,12/13/2020 12:00:00 AM,12/13/2020 8:00:00 PM,HOU,CHI,22,11,11,91,104,,,,,518,517,False
15430,2021,2,Final,12/13/2020 12:00:00 AM,12/13/2020 8:30:00 PM,LAC,LAL,28,27,27,106,131,,,,,522,521,False
15429,2021,2,Final,12/13/2020 12:00:00 AM,12/13/2020 9:00:00 PM,SAC,POR,30,19,19,121,106,,,,,520,519,False
15431,2021,2,Final,12/14/2020 12:00:00 AM,12/14/2020 6:00:00 PM,IND,CLE,13,12,12,106,116,,,,,524,523,False
15433,2021,2,Final,12/14/2020 12:00:00 AM,12/14/2020 7:00:00 PM,TOR,CHA,10,2,2,112,109,,,,,526,525,False
15432,2021,2,Final,12/14/2020 12:00:00 AM,12/14/2020 7:00:00 PM,NO,MIA,23,4,4,114,92,,,,,528,527,False
15434,2021,2,Final,12/14/2020 12:00:00 AM,12/14/2020 8:00:00 PM,DAL,MIL,25,15,15,128,112,,,,,530,529,False
15435,2021,2,Final,12/14/2020 12:00:00 AM,12/14/2020 8:00:00 PM,MEM,MIN,21,16,16,123,104,,,,,532,531,False
15436,2021,2,Final,12/14/2020 12:00:00 AM,12/14/2020 9:00:00 PM,PHO,UTA,29,17,17,92,111,,,,,534,533,False
15437,2021,2,Final,12/15/2020 12:00:00 AM,12/15/2020 7:30:00 PM,BOS,PHI,9,7,7,99,108,,,,,536,535,False
15438,2021,2,Final,12/15/2020 12:00:00 AM,12/15/2020 8:00:00 PM,SA,HOU,24,22,22,98,112,,,,,538,537,False
15439,2021,2,Final,12/15/2020 12:00:00 AM,12/15/2020 10:00:00 PM,GS,SAC,26,30,29,113,114,,,,,540,539,False
15440,2021,2,Final,12/16/2020 12:00:00 AM,12/16/2020 7:30:00 PM,CLE,NY,12,6,6,93,100,,,,,542,541,False
15441,2021,2,Final,12/16/2020 12:00:00 AM,12/16/2020 8:00:00 PM,CHI,OKC,11,18,18,124,103,,,,,544,543,False
15442,2021,2,Final,12/16/2020 12:00:00 AM,12/16/2020 9:00:00 PM,POR,DEN,19,20,20,95,126,,,,,548,547,False
15443,2021,2,Final,12/16/2020 12:00:00 AM,12/16/2020 9:00:00 PM,LAL,PHO,27,29,28,112,107,,,,,546,545,False
15444,2021,2,Final,12/17/2020 12:00:00 AM,12/17/2020 7:00:00 PM,CHA,ORL,2,5,5,123,115,-5.0,220.5,159,-196,512,511,False
15445,2021,2,Final,12/17/2020 12:00:00 AM,12/17/2020 7:00:00 PM,DET,WAS,14,1,1,97,86,-5.5,216.5,171,-212,514,513,False
15446,2021,2,Final,12/17/2020 12:00:00 AM,12/17/2020 8:00:00 PM,SA,HOU,24,22,22,106,128,-4.0,221.0,152,-185,516,515,False
15447,2021,2,Final,12/17/2020 12:00:00 AM,12/17/2020 8:00:00 PM,ATL,MEM,3,21,21,106,128,-2.0,224.5,106,-127,518,517,False
15448,2021,2,F/OT,12/17/2020 12:00:00 AM,12/17/2020 8:30:00 PM,MIN,DAL,16,25,25,129,127,-6.5,226.5,207,-262,520,519,False
15450,2021,2,Final,12/17/2020 12:00:00 AM,12/17/2020 9:00:00 PM,GS,SAC,26,30,29,113,105,-2.0,227.5,105,-125,524,523,False
15449,2021,2,Final,12/17/2020 12:00:00 AM,12/17/2020 10:00:00 PM,UTA,LAC,17,28,27,125,105,-4.5,218.5,156,-189,522,521,False
15451,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 6:00:00 PM,PHI,IND,7,13,13,113,107,1.5,219.0,-118,-102,526,525,False
15452,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 7:00:00 PM,MIA,TOR,4,10,95,117,105,-2.5,218.5,120,-142,528,527,False
15454,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 7:30:00 PM,CLE,NY,12,6,6,83,119,-2.5,211.0,112,-133,530,529,False
15453,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 8:00:00 PM,BKN,BOS,8,9,9,113,89,2.5,226.0,-141,115,532,531,False
15455,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 8:00:00 PM,MIL,NO,15,23,23,113,127,-1.5,230.5,-108,-113,536,535,False
15456,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 8:00:00 PM,CHI,OKC,11,18,18,105,103,1.5,222.5,-121,100,534,533,False
15457,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 9:00:00 PM,POR,DEN,19,20,20,96,129,-6.0,220.5,184,-226,538,537,False
15458,2021,2,Final,12/18/2020 12:00:00 AM,12/18/2020 10:30:00 PM,LAL,PHO,27,29,28,114,113,4.0,221.5,-174,143,540,539,False
15459,2021,2,Final,12/19/2020 12:00:00 AM,12/19/2020 7:00:00 PM,CHA,ORL,2,5,5,117,120,-4.5,223.5,148,-182,542,541,False
15460,2021,2,Final,12/19/2020 12:00:00 AM,12/19/2020 7:00:00 PM,DET,WAS,14,1,1,96,99,-5.0,210.5,154,-185,544,543,False
15461,2021,2,Final,12/19/2020 12:00:00 AM,12/19/2020 8:00:00 PM,ATL,MEM,3,21,21,117,116,-3.0,228.5,134,-160,546,545,False
15462,2021,1,Final,12/22/2020 12:00:00 AM,12/22/2020 7:00:00 PM,GS,BKN,26,8,8,99,125,-7.0,235.0,235,-294,502,501,False
15463,2021,1,Final,12/22/2020 12:00:00 AM,12/22/2020 10:00:00 PM,LAC,LAL,28,27,27,116,109,-2.0,219.5,111,-134,504,503,False
15471,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 7:00:00 PM,CHA,CLE,2,12,12,114,121,2.5,217.5,-145,121,552,551,False
15472,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 7:00:00 PM,NY,IND,6,13,13,107,121,-7.5,216.0,248,-310,554,553,False
15473,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 7:00:00 PM,MIA,ORL,4,5,5,107,113,4.5,218.0,-192,159,556,555,False
15474,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 7:00:00 PM,WAS,PHI,1,7,7,107,113,-7.0,230.5,226,-281,558,557,False
15464,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 7:30:00 PM,MIL,BOS,15,9,9,121,122,4.5,223.5,-185,154,560,559,False
15475,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 7:30:00 PM,NO,TOR,23,10,95,113,99,-4.0,229.5,139,-167,562,561,False
15476,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 8:00:00 PM,ATL,CHI,3,11,11,124,104,2.0,233.5,-129,107,564,563,False
15477,2021,1,Postponed,12/23/2020 12:00:00 AM,12/23/2020 8:00:00 PM,OKC,HOU,18,22,22,0,0,-2.5,217.5,114,-136,566,565,False
15479,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 8:00:00 PM,SA,MEM,24,21,21,131,119,-2.0,230.0,109,-131,568,567,False
15478,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 8:00:00 PM,DET,MIN,14,16,16,101,111,-5.0,224.0,176,-216,570,569,False
15480,2021,1,F/OT,12/23/2020 12:00:00 AM,12/23/2020 9:00:00 PM,SAC,DEN,30,20,20,124,122,-7.5,226.0,245,-305,572,571,False
15481,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 10:00:00 PM,UTA,POR,17,19,19,120,100,2.0,226.0,-126,105,574,573,False
15465,2021,1,Final,12/23/2020 12:00:00 AM,12/23/2020 10:30:00 PM,DAL,PHO,25,29,28,102,106,-1.5,232.5,101,-121,576,575,False
15466,2021,1,Final,12/25/2020 12:00:00 AM,12/25/2020 12:00:00 PM,NO,MIA,23,4,4,98,111,-3.0,222.0,123,-146,578,577,False
15467,2021,1,Final,12/25/2020 12:00:00 AM,12/25/2020 2:30:00 PM,GS,MIL,26,15,15,99,138,-10.5,230.5,410,-560,580,579,False
15468,2021,1,Final,12/25/2020 12:00:00 AM,12/25/2020 5:00:00 PM,BKN,BOS,8,9,9,123,95,3.0,230.0,-145,122,582,581,False
15469,2021,1,Final,12/25/2020 12:00:00 AM,12/25/2020 8:00:00 PM,DAL,LAL,25,27,27,115,138,-6.5,227.0,233,-293,584,583,False
15470,2021,1,Final,12/25/2020 12:00:00 AM,12/25/2020 10:30:00 PM,LAC,DEN,28,20,20,121,108,3.5,226.5,-167,138,586,585,False
15482,2021,1,Final,12/26/2020 12:00:00 AM,12/26/2020 5:00:00 PM,ATL,MEM,3,21,21,122,112,-2.5,239.0,117,-140,502,501,False
15485,2021,1,Final,12/26/2020 12:00:00 AM,12/26/2020 7:00:00 PM,OKC,CHA,18,2,2,109,107,-3.0,219.0,122,-148,508,507,False
