PlayerID,Status,TeamID,Team,Jersey,PositionCategory,Position,FirstName,LastName,Height,Weight,BirthDate,College,PhotoUrl,Experience,InjuryStatus,FanDuelPlayerID,DraftKingsPlayerID,FanDuelName,DraftKingsName
20000439,Inactive,,,42,C,C,Nene,Hilario,83,250,9/13/1982 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000439.png,17,,9512,168013,Nene Hilario,Nene Hilario
20000440,Inactive,,,13,C,C,Marcin,Gortat,83,240,2/17/1984 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000440.png,12,,9661,292408,Marcin Gortat,Marcin Gortat
20000441,Active,1,WAS,3,G,SG,Bradley,Beal,76,207,6/28/1993 12:00:00 AM,Florida,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png,10,,15595,606912,Bradley Beal,Bradley Beal
20000442,Active,28,LAC,11,G,PG,John,Wall,75,210,9/6/1990 12:00:00 AM,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png,10,Out,12332,509456,John Wall,John Wall
20000443,Active,10,TOR,32,F,SF,Otto,Porter Jr.,80,198,6/3/1993 12:00:00 AM,Georgetown,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png,9,Out,15628,609256,Otto Porter,Otto Porter Jr.
20000452,Active,23,NO,41,G,SG,Garrett,Temple,78,195,5/8/1986 12:00:00 AM,Louisiana State,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png,12,,11074,263903,Garrett Temple,Garrett Temple
20000453,Active,5,ORL,31,G,SG,Terrence,Ross,79,206,2/5/1991 12:00:00 AM,Washington,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png,10,,16405,550049,Terrence Ross,Terrence Ross
20000455,Active,23,NO,17,C,C,Jonas,Valanciunas,83,265,5/6/1992 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png,10,,14503,599780,Jonas Valanciunas,Jonas Valanciunas
20000456,Active,11,CHI,11,F,SF,DeMar,DeRozan,78,220,8/7/1989 12:00:00 AM,Southern California,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png,13,Questionable,9714,457594,DeMar DeRozan,DeMar DeRozan
20000457,Active,4,MIA,7,G,PG,Kyle,Lowry,72,196,3/25/1986 12:00:00 AM,Villanova,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png,16,Out,9535,266394,Kyle Lowry,Kyle Lowry
20000459,Inactive,,,,G,SG,Lou,Williams,74,175,10/27/1986 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000459.png,15,,9662,292401,Lou Williams,Lou Williams
20000460,Inactive,,,,F,PF,Patrick,Patterson,80,235,3/14/1989 12:00:00 AM,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000460.png,10,,12340,399599,Patrick Patterson,Patrick Patterson
20000464,Active,13,IND,16,F,PF,James,Johnson,79,240,2/20/1987 12:00:00 AM,Wake Forest,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000464.png,13,,9966,398037,James Johnson,James Johnson
20000466,Inactive,,,,F,SF,Bruno,Caboclo,81,218,9/21/1995 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000466.png,7,,55058,830646,Bruno Caboclo,Bruno Caboclo
20000468,Active,27,LAL,3,C,C,Anthony,Davis,82,253,3/11/1993 12:00:00 AM,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000468.png,10,Probable,15755,603096,Anthony Davis,Anthony Davis
20000471,Active,22,HOU,10,F,SF,Eric,Gordon,75,215,12/25/1988 12:00:00 AM,Indiana,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000471.png,14,,9556,401085,Eric Gordon,Eric Gordon
20000474,Active,15,MIL,21,G,PG,Jrue,Holiday,77,205,6/12/1990 12:00:00 AM,UCLA,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000474.png,13,,9663,457576,Jrue Holiday,Jrue Holiday
20000482,Active,26,GS,23,F,PF,Draymond,Green,78,230,3/4/1990 12:00:00 AM,Michigan State,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000482.png,10,,15860,468895,Draymond Green,Draymond Green
20000483,Active,30,SAC,40,F,SF,Harrison,Barnes,80,225,5/30/1992 12:00:00 AM,North Carolina,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000483.png,10,,15946,552336,Harrison Barnes,Harrison Barnes
20000485,Active,26,GS,30,G,PG,Stephen,Curry,74,185,3/14/1988 12:00:00 AM,Davidson,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000485.png,13,Out,9524,338365,Stephen Curry,Stephen Curry
20000486,Active,26,GS,11,G,SG,Klay,Thompson,78,220,2/8/1990 12:00:00 AM,Washington State,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000486.png,9,,14509,457611,Klay Thompson,Klay Thompson
20000487,Active,26,GS,9,F,SF,Andre,Iguodala,78,215,1/28/1984 12:00:00 AM,Arizona,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000487.png,18,Out,9664,173004,Andre Iguodala,Andre Iguodala
20000492,Active,3,ATL,8,F,SF,Justin,Holiday,78,180,4/5/1989 12:00:00 AM,Washington,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000492.png,9,,16604,395365,Justin Holiday,Justin Holiday
20000497,Active,15,MIL,34,F,PF,Giannis,Antetokounmpo,84,243,12/6/1994 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,10,Probable,40199,739957,Giannis Antetokounmpo,Giannis Antetokounmpo
20000498,Inactive,,,,F,PF,Ersan,Ilyasova,81,235,5/15/1987 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000498.png,12,,9598,292396,Ersan Ilyasova,Ersan Ilyasova
20000500,Active,15,MIL,22,F,SF,Khris,Middleton,79,222,8/12/1991 12:00:00 AM,Texas A&M,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000500.png,10,,16261,512053,Khris Middleton,Khris Middleton
20000501,Inactive,,,,G,PG,Michael,Carter-Williams,77,190,10/10/1991 12:00:00 AM,Syracuse,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000501.png,7,,16201,609790,Michael Carter-Williams,Michael Carter-Williams
20000502,Inactive,,,,F,PF,John,Henson,81,219,12/28/1990 12:00:00 AM,North Carolina,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000502.png,8,,15952,502871,John Henson,John Henson
20000505,Inactive,,,,F,SF,Jared,Dudley,78,237,7/10/1985 12:00:00 AM,Boston College,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000505.png,13,,9677,241712,Jared Dudley,Jared Dudley
20000508,Inactive,,,,F,PF,Johnny,O'Bryant III,81,257,6/1/1993 12:00:00 AM,LSU,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000508.png,2,,15792,603100,Johnny O'Bryant,Johnny O'Bryant III
20000511,Inactive,,,,F,PF,Jabari,Parker,79,245,3/15/1995 12:00:00 AM,Duke,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000511.png,7,,42550,756880,Jabari Parker,Jabari Parker
20000512,Inactive,,,,C,C,Pau,Gasol,85,250,7/6/1980 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000512.png,18,,9570,3494,Pau Gasol,Pau Gasol
20000514,Inactive,,,,C,C,Joakim,Noah,83,230,2/25/1985 12:00:00 AM,Florida,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000514.png,13,,9483,263220,Joakim Noah,Joakim Noah
20000515,Active,4,MIA,22,F,SF,Jimmy,Butler,79,230,9/14/1989 12:00:00 AM,Marquette,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000515.png,11,,14528,458730,Jimmy Butler,Jimmy Butler
20000516,Active,6,NY,4,G,PG,Derrick,Rose,75,200,10/4/1988 12:00:00 AM,Memphis,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000516.png,13,,9475,399612,Derrick Rose,Derrick Rose
