StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
897028,8,20000464,2,2022,James Johnson,BKN,PF,0,2,33.10,35,34,7.00,12.00,58.3,6.00,8.00,75.0,1.00,4.00,25.0,2.00,2.00,100,1.00,2.00,3.00,3.00,2.00,2.00,0.00,5.00,17.00,37.10,33.75,2.00,0.00,0.00
897029,27,20000468,2,2022,Anthony Davis,LAL,PF,5,5,152.50,127,30,24.00,62.00,38.7,22.00,54.00,40.7,2.00,8.00,25.0,23.00,36.00,63.9,5.00,25.00,30.00,11.00,8.00,7.00,3.00,8.00,73.00,167.50,158.00,-50.00,1.00,0.00
897030,27,20000530,2,2022,Rajon Rondo,LAL,PG,0,6,68.00,100,19,7.00,14.00,50.0,3.00,7.00,42.9,4.00,7.00,57.1,0.00,0.00,0,0.00,25.00,25.00,20.00,2.00,0.00,14.00,7.00,18.00,70.00,78.25,-53.00,0.00,0.00
897031,27,20000541,2,2022,Trevor Ariza,LAL,SF,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
897032,27,20000543,2,2022,Dwight Howard,LAL,C,0,5,104.80,74,48,16.00,29.00,55.2,16.00,28.00,57.1,0.00,1.00,0,13.00,19.00,68.4,16.00,18.00,34.00,4.00,4.00,6.00,7.00,19.00,45.00,114.80,111.50,9.00,1.00,0.00
897033,8,20000544,2,2022,James Harden,BKN,SG,3,3,72.20,82,22,13.00,30.00,43.3,8.00,14.00,57.1,5.00,16.00,31.2,4.00,7.00,57.1,1.00,10.00,11.00,22.00,2.00,0.00,13.00,6.00,35.00,74.20,81.75,0.00,0.00,0.00
897034,27,20000571,2,2022,LeBron James,LAL,SF,3,3,93.00,73,19,23.00,48.00,47.9,20.00,36.00,55.6,3.00,12.00,25.0,7.00,8.00,87.5,0.00,15.00,15.00,12.00,4.00,2.00,11.00,5.00,56.00,99.00,100.75,17.00,0.00,0.00
897035,8,20000574,2,2022,Kyrie Irving,BKN,PG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
897036,8,20000584,2,2022,Joe Harris,BKN,SF,3,3,55.10,77,52,14.00,22.00,63.6,1.00,2.00,50.0,13.00,20.00,65.0,0.00,0.00,0,1.00,7.00,8.00,5.00,0.00,0.00,3.00,4.00,41.00,55.10,63.50,10.00,0.00,0.00
897037,8,20000602,2,2022,Paul Millsap,BKN,PF,1,3,71.30,58,24,11.00,25.00,44.0,7.00,16.00,43.8,4.00,9.00,44.4,0.00,1.00,0,7.00,17.00,24.00,7.00,4.00,3.00,8.00,7.00,26.00,78.30,80.00,0.00,1.00,0.00
