QuarterID,GameID,Number,Name,AwayScore,HomeScore
59010,15413,1,1,31,23
59011,15414,1,1,22,18
59012,15413,2,2,21,29
59013,15413,3,3,35,25
59014,15413,4,4,29,35
59015,15414,2,2,26,29
59016,15414,3,3,26,14
59017,15414,4,4,16,23
59018,15415,1,1,37,26
59019,15415,2,2,31,22
59020,15415,3,3,34,24
59021,15415,4,4,23,32
59022,15416,1,1,22,25
59023,15416,2,2,24,18
59024,15416,3,3,15,16
59025,15416,4,4,20,28
59026,15417,1,1,36,41
59027,15417,2,2,26,31
59028,15417,3,3,19,24
59029,15417,4,4,21,31
59030,15418,1,1,22,20
59031,15419,1,1,33,32
59032,15420,1,1,23,32
59033,15420,2,2,35,19
59034,15420,3,3,29,25
59035,15420,4,4,24,24
59036,15419,2,2,40,26
59037,15419,3,3,25,32
59038,15419,4,4,23,18
59039,15418,2,2,23,29
59040,15418,3,3,28,16
59041,15418,4,4,31,42
59042,15421,1,1,19,21
59043,15421,2,2,34,38
59044,15421,3,3,38,15
59045,15421,4,4,21,28
59046,15422,1,1,34,27
59047,15422,2,2,26,27
59048,15422,3,3,29,23
59049,15422,4,4,18,28
59050,15423,1,1,23,31
59051,15423,2,2,27,30
59052,15423,3,3,27,23
59053,15423,4,4,28,23
59054,15424,1,1,26,33
59055,15424,2,2,25,29
59056,15424,3,3,32,25
59057,15424,4,4,22,32
59058,15425,1,1,26,36
59059,15425,2,2,26,22
59060,15425,3,3,30,30
59061,15425,4,4,25,28
59062,15426,1,1,20,38
59063,15426,2,2,30,30
59064,15426,3,3,34,22
59065,15426,4,4,30,29
59066,15427,1,1,20,31
59067,15427,2,2,22,21
59068,15427,3,3,33,23
59069,15427,4,4,16,24
59070,15428,1,1,31,30
59071,15428,2,2,25,23
59072,15428,3,3,23,20
59073,15428,4,4,12,31
59074,15430,1,1,29,39
59075,15430,2,2,34,31
59076,15430,3,3,23,33
59077,15430,4,4,20,28
59078,15429,1,1,30,21
59079,15429,2,2,28,30
59080,15429,3,3,29,33
59081,15429,4,4,34,22
59082,15431,1,1,35,32
59083,15431,2,2,20,23
59084,15431,3,3,24,26
59085,15431,4,4,27,35
59086,15433,1,1,22,30
59087,15432,1,1,32,30
59088,15433,2,2,35,30
59089,15433,3,3,28,27
59090,15433,4,4,27,22
59091,15432,2,2,28,23
59092,15432,3,3,25,19
59093,15432,4,4,29,20
59094,15434,1,1,32,28
59095,15435,1,1,36,22
59096,15434,2,2,27,41
59097,15434,3,3,36,24
59098,15434,4,4,33,19
59099,15435,2,2,28,28
59100,15435,3,3,32,22
59101,15435,4,4,27,32
59102,15436,1,1,15,19
59103,15436,2,2,33,30
59104,15436,3,3,22,38
59105,15436,4,4,22,24
59106,15437,1,1,19,29
59107,15437,2,2,25,21
59108,15437,3,3,28,32
59109,15437,4,4,27,26
59110,15438,1,1,31,25
59111,15438,2,2,24,31
59112,15438,3,3,17,21
59113,15438,4,4,26,35
59114,15439,1,1,27,25
59115,15439,2,2,20,37
59116,15439,3,3,34,26
59117,15439,4,4,32,26
59118,15440,1,1,25,24
59119,15440,2,2,32,29
59120,15440,3,3,23,13
59121,15440,4,4,13,34
59122,15441,1,1,30,26
59123,15441,2,2,29,20
59124,15441,3,3,35,23
59125,15441,4,4,30,34
59126,15442,1,1,24,41
59127,15443,1,1,21,25
59128,15442,2,2,26,28
59129,15442,3,3,20,21
59130,15442,4,4,25,36
59131,15443,2,2,32,19
59132,15443,3,3,16,39
59133,15443,4,4,43,24
59134,15444,1,1,32,18
59135,15445,1,1,33,23
59136,15444,2,2,36,40
59137,15444,3,3,31,30
59138,15444,4,4,24,27
59139,15445,2,2,25,12
59140,15445,3,3,20,25
59141,15445,4,4,19,26
59142,15446,1,1,20,33
59143,15446,2,2,25,27
59144,15446,3,3,23,38
59145,15446,4,4,38,30
59146,15447,1,1,34,32
59147,15447,2,2,32,36
59148,15447,3,3,17,31
59149,15447,4,4,23,29
59150,15448,1,1,37,33
59151,15448,2,2,24,35
59152,15448,3,3,22,30
59153,15448,4,4,31,16
59154,15450,1,1,29,29
59155,15450,2,2,36,33
59156,15450,3,3,27,19
59157,15450,4,4,21,24
59158,15449,1,1,28,29
59159,15449,2,2,30,19
59160,15449,3,3,32,30
59161,15449,4,4,35,27
59162,15448,5,OT,15,13
59163,15451,1,1,28,28
59164,15451,2,2,23,31
59165,15451,3,3,33,24
59166,15451,4,4,29,24
59167,15452,1,1,23,24
59168,15452,2,2,35,32
59169,15452,3,3,33,27
59170,15452,4,4,26,22
59171,15454,1,1,18,41
59172,15454,2,2,17,31
59173,15454,3,3,22,31
59174,15454,4,4,26,16
59175,15456,1,1,27,29
59176,15455,1,1,20,35
59177,15456,2,2,22,35
59178,15456,3,3,22,26
59179,15456,4,4,34,13
59180,15453,1,1,35,23
59181,15455,2,2,37,24
59182,15455,3,3,33,39
59183,15455,4,4,23,29
59184,15453,2,2,27,21
59185,15453,3,3,30,16
59186,15453,4,4,21,29
59187,15457,1,1,23,41
59188,15457,2,2,25,38
59189,15457,3,3,27,28
59190,15457,4,4,21,22
59191,15458,1,1,21,39
59192,15458,2,2,35,30
59193,15458,3,3,35,23
59194,15458,4,4,23,21
59195,15459,1,1,27,38
59196,15459,2,2,22,25
59197,15459,3,3,29,31
59198,15459,4,4,39,26
59199,15460,1,1,27,31
59200,15460,2,2,22,32
59201,15460,3,3,27,20
59202,15460,4,4,20,16
59203,15461,1,1,17,29
59204,15461,2,2,34,32
59205,15461,3,3,30,30
59206,15461,4,4,36,25
59207,15462,1,1,25,40
59208,15462,2,2,20,23
59209,15462,3,3,26,36
59210,15462,4,4,28,26
59211,15463,1,1,39,19
59212,15463,2,2,17,35
59213,15463,3,3,33,24
59214,15463,4,4,27,31
59215,15474,1,1,26,30
59216,15474,2,2,33,28
59217,15474,3,3,24,15
59218,15474,4,4,24,40
59219,15471,1,1,23,24
59220,15471,2,2,21,41
59221,15471,3,3,36,28
59222,15471,4,4,34,28
59223,15473,1,1,29,27
59224,15473,2,2,24,29
59225,15473,3,3,30,23
59226,15473,4,4,24,34
59227,15472,1,1,33,35
59228,15472,2,2,33,26
59229,15472,3,3,16,27
59230,15472,4,4,25,33
59231,15464,1,1,34,31
59232,15464,2,2,25,33
59233,15464,3,3,25,37
59234,15464,4,4,37,21
59235,15475,1,1,23,26
59236,15475,2,2,27,31
59237,15475,3,3,38,22
59238,15475,4,4,25,20
59239,15476,1,1,42,29
59240,15476,2,2,41,30
59241,15476,3,3,28,20
59242,15476,4,4,13,25
59243,15479,1,1,30,33
59244,15479,2,2,36,20
59245,15479,3,3,33,35
59246,15479,4,4,32,31
59247,15478,1,1,34,25
59248,15478,2,2,23,31
59249,15478,3,3,28,24
59250,15478,4,4,16,31
59251,15480,1,1,25,31
59252,15480,2,2,28,29
59253,15480,3,3,36,24
59254,15480,4,4,23,28
59255,15481,1,1,32,25
59256,15481,2,2,33,19
59257,15481,3,3,29,24
59258,15481,4,4,26,32
59259,15465,1,1,22,23
59260,15465,2,2,23,30
59261,15465,3,3,26,24
59262,15465,4,4,31,29
59263,15480,5,OT,12,10
59264,15466,1,1,26,29
59265,15466,2,2,27,37
59266,15466,3,3,26,22
59267,15466,4,4,19,23
59268,15467,1,1,25,33
59269,15467,2,2,31,33
59270,15467,3,3,20,34
59271,15467,4,4,23,38
59272,15468,1,1,26,22
59273,15468,2,2,25,32
59274,15468,3,3,35,23
59275,15468,4,4,37,18
59276,15469,1,1,30,33
59277,15469,2,2,27,36
59278,15469,3,3,28,30
59279,15469,4,4,30,39
59280,15470,1,1,32,26
59281,15470,2,2,40,29
59282,15470,3,3,26,24
59283,15470,4,4,23,29
59284,15482,1,1,27,22
59285,15482,2,2,31,34
59286,15482,3,3,29,32
59287,15482,4,4,35,24
59288,15485,1,1,26,28
59289,15485,2,2,31,31
59290,15485,3,3,23,16
59291,15485,4,4,29,32
59292,15484,1,1,32,32
59293,15484,2,2,31,27
59294,15484,3,3,29,32
59295,15484,4,4,38,29
59296,15483,1,1,26,26
59297,15483,2,2,33,27
59298,15483,3,3,22,33
59299,15483,4,4,20,15
59300,15486,1,1,27,27
59301,15486,2,2,33,28
59302,15486,3,3,26,14
59303,15486,4,4,23,20
59304,15487,1,1,27,28
59305,15487,2,2,39,28
59306,15487,3,3,33,15
59307,15487,4,4,26,35
59308,15488,1,1,39,33
59309,15488,2,2,19,28
59310,15488,3,3,28,30
59311,15488,4,4,28,28
59312,15489,1,1,31,27
59313,15489,2,2,37,26
59314,15489,3,3,20,26
59315,15489,4,4,28,32
59316,15483,5,OT,11,11
59317,15483,6,OT2,16,7
59318,15490,1,1,31,27
59319,15490,2,2,37,31
59320,15490,3,3,17,26
59321,15490,4,4,28,29
59322,15491,1,1,25,31
59323,15491,2,2,29,27
59324,15491,3,3,25,25
59325,15491,4,4,24,23
