StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
698819,3,2,2020,Atlanta Hawks,ATL,1,4,5,938.70,1200,0,168.00,422.00,39.8,113.00,246.00,45.9,55.00,176.00,31.2,86.00,131.00,65.6,51.00,185.00,236.00,113.00,36.00,23.00,109.00,115.00,477.00,997.70,1034.00,-400.00,1.00,0.00
710932,3,1,2020,Atlanta Hawks,ATL,20,47,67,14046.10,16280,0,2723.00,6067.00,44.9,1918.00,3651.00,52.5,805.00,2416.00,33.3,1237.00,1566.00,79.0,661.00,2237.00,2898.00,1605.00,523.00,341.00,1055.00,1548.00,7488.00,14910.10,15224.50,-2670.00,67.00,2.00
798126,8,3,2020,Brooklyn Nets,BKN,0,4,4,807.90,960,0,145.00,365.00,39.7,83.00,181.00,45.9,62.00,184.00,33.7,71.00,98.00,72.4,37.00,140.00,177.00,103.00,20.00,18.00,58.00,85.00,423.00,845.90,884.25,-410.00,5.00,0.00
709776,8,1,2020,Brooklyn Nets,BKN,35,37,72,15356.30,17480,0,2908.00,6498.00,44.8,1967.00,3752.00,52.4,941.00,2746.00,34.3,1291.00,1732.00,74.5,766.00,2683.00,3449.00,1761.00,464.00,323.00,1046.00,1510.00,8048.00,16143.30,16627.25,-205.00,68.00,2.00
700435,8,2,2020,Brooklyn Nets,BKN,2,1,3,607.90,763,11,107.00,250.00,42.8,61.00,134.00,45.5,46.00,116.00,39.7,52.00,75.00,69.3,28.00,109.00,137.00,67.00,30.00,18.00,65.00,64.00,312.00,655.90,670.25,5.00,0.00,0.00
698056,9,2,2020,Boston Celtics,BOS,4,0,4,870.50,960,0,166.00,345.00,48.1,116.00,205.00,56.6,50.00,140.00,35.7,61.00,90.00,67.8,44.00,146.00,190.00,97.00,37.00,30.00,80.00,82.00,443.00,937.50,945.00,475.00,0.00,0.00
709777,9,1,2020,Boston Celtics,BOS,48,24,72,15700.90,17430,0,2971.00,6448.00,46.1,2066.00,3961.00,52.2,905.00,2487.00,36.4,1336.00,1668.00,80.1,768.00,2549.00,3317.00,1655.00,595.00,406.00,947.00,1553.00,8183.00,16701.90,16863.25,2270.00,47.00,0.00
798127,9,3,2020,Boston Celtics,BOS,10,7,17,3529.30,4155,0,656.00,1444.00,45.4,445.00,825.00,53.9,211.00,619.00,34.1,336.00,412.00,81.6,149.00,620.00,769.00,385.00,114.00,83.00,224.00,379.00,1859.00,3726.30,3812.25,428.00,17.00,1.00
709771,2,1,2020,Charlotte Hornets,CHA,23,42,65,12836.70,15750,0,2425.00,5586.00,43.4,1640.00,3355.00,48.9,785.00,2231.00,35.2,1052.00,1406.00,74.8,715.00,2066.00,2781.00,1549.00,428.00,268.00,903.00,1223.00,6687.00,13532.70,13891.75,-2195.00,48.00,0.00
698055,2,2,2020,Charlotte Hornets,CHA,1,4,5,999.70,1247,20,190.00,429.00,44.3,136.00,263.00,51.7,54.00,166.00,32.5,83.00,100.00,83.0,48.00,183.00,231.00,119.00,38.00,28.00,105.00,110.00,517.00,1065.70,1092.25,-65.00,1.00,0.00
698821,11,2,2020,Chicago Bulls,CHI,2,3,5,1086.30,1200,0,199.00,478.00,41.6,135.00,281.00,48.0,64.00,197.00,32.5,78.00,111.00,70.3,68.00,181.00,249.00,125.00,51.00,21.00,84.00,116.00,540.00,1158.30,1174.25,10.00,1.00,0.00
709778,11,1,2020,Chicago Bulls,CHI,22,43,65,13358.20,15675,0,2573.00,5762.00,44.7,1780.00,3480.00,51.1,793.00,2282.00,34.8,1006.00,1332.00,75.5,680.00,2041.00,2721.00,1510.00,652.00,265.00,951.00,1417.00,6945.00,14275.20,14408.25,-1000.00,28.00,0.00
709779,12,1,2020,Cleveland Cavaliers,CLE,19,46,65,12943.20,15725,15,2619.00,5715.00,45.8,1892.00,3645.00,51.9,727.00,2070.00,35.1,983.00,1296.00,75.8,704.00,2172.00,2876.00,1500.00,447.00,211.00,1022.00,1188.00,6948.00,13601.20,14069.50,-2565.00,72.00,0.00
701208,12,2,2020,Cleveland Cavaliers,CLE,0,3,3,464.50,720,0,96.00,243.00,39.5,66.00,130.00,50.8,30.00,113.00,26.5,50.00,69.00,72.5,23.00,92.00,115.00,47.00,16.00,7.00,62.00,73.00,272.00,487.50,516.25,-365.00,0.00,0.00
699527,25,2,2020,Dallas Mavericks,DAL,2,3,5,1049.70,1200,0,181.00,435.00,41.6,111.00,221.00,50.2,70.00,214.00,32.7,109.00,144.00,75.7,52.00,199.00,251.00,123.00,40.00,21.00,99.00,121.00,541.00,1110.70,1152.75,115.00,4.00,0.00
709789,25,1,2020,Dallas Mavericks,DAL,43,32,75,16510.50,18175,0,3124.00,6772.00,46.1,1988.00,3677.00,54.1,1136.00,3095.00,36.7,1392.00,1787.00,77.9,791.00,2729.00,3520.00,1849.00,460.00,363.00,909.00,1462.00,8776.00,17333.50,17857.50,1855.00,82.00,17.00
798131,25,3,2020,Dallas Mavericks,DAL,2,4,6,1253.30,1465,0,253.00,535.00,47.3,172.00,310.00,55.5,81.00,225.00,36.0,115.00,159.00,72.3,46.00,213.00,259.00,129.00,39.00,22.00,75.00,135.00,702.00,1314.30,1351.75,-290.00,3.00,2.00
798130,20,3,2020,Denver Nuggets,DEN,9,10,19,3742.40,4585,0,738.00,1568.00,47.1,505.00,953.00,53.0,233.00,615.00,37.9,332.00,407.00,81.6,176.00,596.00,772.00,428.00,117.00,75.00,251.00,426.00,2041.00,3934.40,4045.50,-215.00,14.00,1.00
709786,20,1,2020,Denver Nuggets,DEN,46,27,73,15810.40,17745,0,3069.00,6488.00,47.3,2268.00,4254.00,53.3,801.00,2234.00,35.9,1185.00,1526.00,77.7,786.00,2436.00,3222.00,1952.00,586.00,337.00,954.00,1485.00,8124.00,16733.40,16975.00,770.00,71.00,13.00
699526,20,2,2020,Denver Nuggets,DEN,4,0,4,842.80,960,35,160.00,341.00,46.9,126.00,229.00,55.0,34.00,112.00,30.4,79.00,106.00,74.5,38.00,151.00,189.00,98.00,45.00,14.00,82.00,102.00,433.00,901.80,911.75,210.00,1.00,0.00
698822,14,2,2020,Detroit Pistons,DET,3,2,5,1010.50,1200,0,191.00,448.00,42.6,139.00,277.00,50.2,52.00,171.00,30.4,92.00,124.00,74.2,54.00,176.00,230.00,125.00,29.00,24.00,85.00,97.00,526.00,1063.50,1095.00,-135.00,3.00,0.00
709781,14,1,2020,Detroit Pistons,DET,20,46,66,13383.10,15965,0,2595.00,5658.00,45.9,1804.00,3501.00,51.5,791.00,2157.00,36.7,1097.00,1476.00,74.3,644.00,2109.00,2753.00,1589.00,490.00,299.00,960.00,1299.00,7078.00,14172.10,14501.25,-1175.00,70.00,0.00
710935,26,1,2020,Golden State Warriors,GS,15,50,65,13484.50,15726,7,2510.00,5730.00,43.8,1832.00,3698.00,49.5,678.00,2032.00,33.4,1214.00,1511.00,80.3,647.00,2138.00,2785.00,1663.00,534.00,299.00,930.00,1304.00,6912.00,14317.50,14480.25,-2828.00,33.00,2.00
697420,26,2,2020,Golden State Warriors,GS,2,3,5,1084.60,1201,22,188.00,456.00,41.2,124.00,262.00,47.3,64.00,194.00,33.0,119.00,140.00,85.0,64.00,169.00,233.00,110.00,55.00,32.00,93.00,135.00,559.00,1171.60,1176.25,-103.00,1.00,0.00
696410,22,2,2020,Houston Rockets,HOU,3,2,5,1123.40,1200,0,201.00,457.00,44.0,112.00,190.00,58.9,89.00,267.00,33.3,123.00,165.00,74.5,60.00,167.00,227.00,114.00,54.00,28.00,98.00,133.00,614.00,1205.40,1232.75,60.00,3.00,0.00
710934,22,1,2020,Houston Rockets,HOU,44,28,72,15620.10,17380,0,2936.00,6512.00,45.1,1810.00,3251.00,55.7,1126.00,3261.00,34.5,1484.00,1876.00,79.1,704.00,2484.00,3188.00,1557.00,627.00,372.00,1021.00,1566.00,8482.00,16619.10,17000.00,1065.00,86.00,12.00
798594,22,3,2020,Houston Rockets,HOU,5,7,12,2380.20,2912,22,449.00,1029.00,43.6,246.00,468.00,52.6,203.00,561.00,36.2,191.00,240.00,79.6,80.00,386.00,466.00,256.00,109.00,42.00,157.00,266.00,1292.00,2531.20,2595.50,46.00,8.00,0.00
798592,13,3,2020,Indiana Pacers,IND,0,4,4,773.20,960,0,146.00,321.00,45.5,98.00,193.00,50.8,48.00,128.00,37.5,63.00,81.00,77.8,23.00,123.00,146.00,90.00,37.00,22.00,58.00,93.00,403.00,832.20,839.50,-210.00,4.00,0.00
709780,13,1,2020,Indiana Pacers,IND,45,28,73,15482.80,17620,0,3075.00,6457.00,47.6,2332.00,4411.00,52.9,743.00,2046.00,36.3,1096.00,1393.00,78.7,636.00,2488.00,3124.00,1888.00,543.00,376.00,925.00,1445.00,7989.00,16401.80,16599.00,715.00,80.00,4.00
696727,13,2,2020,Indiana Pacers,IND,3,1,4,915.10,985,0,174.00,371.00,46.9,124.00,246.00,50.4,50.00,125.00,40.0,80.00,99.00,80.8,40.00,158.00,198.00,115.00,32.00,26.00,89.00,97.00,478.00,973.10,1000.50,175.00,4.00,0.00
696411,28,2,2020,Los Angeles Clippers,LAC,0,3,3,551.70,720,0,102.00,259.00,39.4,77.00,167.00,46.1,25.00,92.00,27.2,45.00,76.00,59.2,22.00,99.00,121.00,75.00,28.00,12.00,60.00,80.00,274.00,591.70,600.25,-240.00,0.00,0.00
708383,28,1,2020,Los Angeles Clippers,LAC,49,23,72,15755.40,17380,0,2992.00,6425.00,46.6,2097.00,4015.00,52.2,895.00,2410.00,37.1,1498.00,1894.00,79.1,768.00,2664.00,3432.00,1708.00,511.00,338.00,1000.00,1594.00,8377.00,16604.40,16958.50,2320.00,55.00,1.00
798132,28,3,2020,Los Angeles Clippers,LAC,7,6,13,2709.90,3145,0,532.00,1123.00,47.4,375.00,696.00,53.9,157.00,427.00,36.8,261.00,327.00,79.8,123.00,449.00,572.00,275.00,96.00,48.00,159.00,298.00,1482.00,2853.90,2913.00,275.00,11.00,0.00
798589,27,3,2020,Los Angeles Lakers,LAL,16,5,21,4546.20,5040,0,862.00,1764.00,48.9,608.00,1046.00,58.1,254.00,718.00,35.4,391.00,516.00,75.8,222.00,704.00,926.00,538.00,169.00,112.00,303.00,476.00,2369.00,4827.20,4925.00,720.00,31.00,5.00
