GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,StadiumID,AwayTeamScore,HomeTeamScore,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,NeutralVenue
18174,2023,2,Canceled,9/30/2022 12:00:00 AM,,WAS,GS,1,26,53,,,,,,,,,
19411,2023,2,Final,9/30/2022 12:00:00 AM,9/30/2022 6:00:00 AM,GS,WAS,26,1,53,96,87,3.5,226.0,-170,140,542,541,True
18163,2023,2,Final,10/1/2022 12:00:00 AM,10/1/2022 8:00:00 PM,MEM,MIL,21,15,15,107,102,-6.0,221.0,180,-213,544,543,False
18175,2023,2,Final,10/1/2022 12:00:00 AM,10/2/2022 1:00:00 AM,WAS,GS,1,26,53,95,104,-4.5,218.5,153,-185,546,545,True
19412,2023,2,Canceled,10/2/2022 12:00:00 AM,,WAS,GS,1,26,51,,,,,,,,,
18149,2023,2,Final,10/2/2022 12:00:00 AM,10/2/2022 1:00:00 PM,CHA,BOS,2,9,9,93,134,-6.0,214.0,213,-256,548,547,False
18150,2023,2,Final,10/2/2022 12:00:00 AM,10/2/2022 6:00:00 PM,UTA,TOR,17,10,102,82,114,-6.0,214.0,197,-246,550,549,True
18144,2023,2,Final,10/2/2022 12:00:00 AM,10/2/2022 7:00:00 PM,SA,HOU,24,22,22,96,134,-4.5,218.5,148,-178,552,551,False
18120,2023,2,Final,10/3/2022 12:00:00 AM,10/3/2022 7:30:00 PM,PHI,BKN,7,8,8,127,108,-8.0,218.0,253,-321,554,553,False
19407,2023,2,Final,10/3/2022 12:00:00 AM,10/3/2022 8:00:00 PM,ORL,MEM,5,21,21,97,109,-7.5,213.5,245,-313,556,555,False
19408,2023,2,Final,10/3/2022 12:00:00 AM,10/3/2022 9:00:00 PM,OKC,DEN,18,20,20,112,101,-9.5,215.5,326,-423,558,557,False
18121,2023,2,Final,10/3/2022 12:00:00 AM,10/3/2022 10:30:00 PM,POR,LAC,19,28,99,97,102,-7.0,215.5,226,-283,560,559,True
18136,2023,2,Final,10/3/2022 12:00:00 AM,10/3/2022 10:30:00 PM,SAC,LAL,30,27,27,105,75,-5.5,215.5,180,-220,562,561,False
18170,2023,2,Final,10/4/2022 12:00:00 AM,10/4/2022 7:00:00 PM,DET,NY,14,6,6,96,117,-5.0,208.5,157,-192,572,571,False
18122,2023,2,Final,10/4/2022 12:00:00 AM,10/4/2022 7:30:00 PM,MIN,MIA,16,4,4,121,111,-6.0,213.0,186,-226,574,573,False
18123,2023,2,Final,10/4/2022 12:00:00 AM,10/4/2022 9:30:00 PM,NO,CHI,23,11,11,129,125,-3.5,217.5,128,-151,576,575,False
18124,2023,2,Final,10/4/2022 12:00:00 AM,10/4/2022 10:00:00 PM,UTA,POR,17,19,19,118,101,1.0,211.5,-110,-110,578,577,False
18158,2023,2,Final,10/5/2022 12:00:00 AM,10/5/2022 7:00:00 PM,IND,CHA,13,2,2,122,97,2.5,221.5,-141,120,544,543,False
18161,2023,2,Final,10/5/2022 12:00:00 AM,10/5/2022 7:00:00 PM,CLE,PHI,12,7,7,112,113,-5.0,220.5,161,-195,542,541,False
18151,2023,2,F/OT,10/5/2022 12:00:00 AM,10/5/2022 7:30:00 PM,TOR,BOS,10,9,9,125,119,-4.5,220.5,142,-172,546,545,False
19413,2023,2,Final,10/5/2022 12:00:00 AM,10/5/2022 8:00:00 PM,DAL,OKC,25,18,37,98,96,5.0,211.5,-199,165,548,547,True
18137,2023,2,Final,10/5/2022 12:00:00 AM,10/5/2022 10:00:00 PM,PHO,LAL,29,27,43,119,115,5.5,213.5,-197,165,550,549,True
18164,2023,2,Canceled,10/6/2022 12:00:00 AM,,ATL,MIL,3,15,98,,,,,,,,,
19414,2023,2,Final,10/6/2022 12:00:00 AM,10/6/2022 12:00:00 PM,MIL,ATL,15,3,98,113,123,-1.0,222.5,-103,-118,551,552,True
18125,2023,2,Final,10/6/2022 12:00:00 AM,10/6/2022 7:30:00 PM,MIA,BKN,4,8,8,109,80,-3.5,220.5,140,-165,554,553,False
18145,2023,2,Final,10/6/2022 12:00:00 AM,10/6/2022 8:00:00 PM,ORL,SA,5,24,24,102,99,3.5,210.5,-165,139,558,557,False
18126,2023,2,Final,10/6/2022 12:00:00 AM,10/6/2022 10:00:00 PM,MIN,LAL,16,27,43,114,99,8.5,214.5,-315,253,562,561,True
18152,2023,2,Final,10/7/2022 12:00:00 AM,10/7/2022 7:30:00 PM,BOS,CHA,9,2,103,112,103,5.0,215.5,-223,183,566,565,True
18171,2023,2,Final,10/7/2022 12:00:00 AM,10/7/2022 7:30:00 PM,IND,NY,13,6,6,114,131,-4.5,218.0,165,-197,564,563,False
18127,2023,2,Final,10/7/2022 12:00:00 AM,10/7/2022 8:00:00 PM,DEN,CHI,20,11,11,113,131,-4.5,222.5,151,-182,568,567,False
18156,2023,2,Final,10/7/2022 12:00:00 AM,10/7/2022 8:00:00 PM,TOR,HOU,10,22,22,100,116,5.5,224.5,-223,183,572,571,False
19409,2023,2,Final,10/7/2022 12:00:00 AM,10/7/2022 8:00:00 PM,MIA,MEM,4,21,21,111,108,-9.5,209.5,320,-408,570,569,False
18155,2023,2,Final,10/7/2022 12:00:00 AM,10/7/2022 8:00:00 PM,DET,NO,14,23,23,101,107,-4.5,220.5,159,-192,574,573,False
19415,2023,2,Final,10/7/2022 12:00:00 AM,10/7/2022 8:30:00 PM,ORL,DAL,5,25,25,110,105,-7.0,204.5,235,-293,576,575,False
18165,2023,2,Final,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 PM,ATL,MIL,3,15,98,118,109,-2.0,223.5,110,-132,578,577,True
18129,2023,2,Final,10/9/2022 12:00:00 AM,10/9/2022 6:00:00 PM,CHI,TOR,11,10,10,115,98,-3.0,225.5,123,-145,542,541,False
18146,2023,2,Final,10/9/2022 12:00:00 AM,10/9/2022 7:00:00 PM,NO,SA,23,24,24,111,97,7.0,217.0,-276,226,544,543,False
18138,2023,2,Final,10/9/2022 12:00:00 AM,10/9/2022 8:30:00 PM,LAL,GS,27,26,51,124,121,-7.5,214.5,226,-276,548,547,False
18130,2023,2,Final,10/9/2022 12:00:00 AM,10/9/2022 9:00:00 PM,POR,SAC,19,30,29,94,126,-2.5,217.0,116,-139,550,549,False
18128,2023,2,Final,10/9/2022 12:00:00 AM,10/9/2022 10:30:00 PM,MIN,LAC,16,28,27,119,117,-5.0,218.5,163,-195,552,551,False
18159,2023,2,Final,10/10/2022 12:00:00 AM,10/10/2022 7:00:00 PM,WAS,CHA,1,2,2,116,107,-4.0,218.0,141,-169,556,555,False
18162,2023,2,Final,10/10/2022 12:00:00 AM,10/10/2022 7:00:00 PM,PHI,CLE,7,12,12,113,97,-4.5,223.5,154,-188,554,553,False
18139,2023,2,Final,10/10/2022 12:00:00 AM,10/10/2022 7:30:00 PM,HOU,MIA,22,4,4,110,118,2.0,218.5,-129,107,558,557,False
19410,2023,2,Final,10/10/2022 12:00:00 AM,10/10/2022 9:00:00 PM,PHO,DEN,29,20,20,105,107,5.5,217.0,-210,176,560,559,False
19416,2023,2,Final,10/11/2022 12:00:00 AM,10/11/2022 7:00:00 PM,OKC,DET,18,14,14,115,99,-5.5,214.5,172,-212,564,563,False
18140,2023,2,Final,10/11/2022 12:00:00 AM,10/11/2022 7:00:00 PM,MEM,ORL,21,5,5,105,109,6.5,213.0,-267,215,562,561,False
18131,2023,2,Final,10/11/2022 12:00:00 AM,10/11/2022 8:00:00 PM,MIL,CHI,15,11,11,104,127,-7.0,223.5,205,-250,566,565,False
18147,2023,2,Final,10/11/2022 12:00:00 AM,10/11/2022 9:00:00 PM,SA,UTA,24,17,17,111,104,-2.5,220.5,127,-148,568,567,False
18132,2023,2,Final,10/11/2022 12:00:00 AM,10/11/2022 10:00:00 PM,POR,GS,19,26,51,98,131,-2.0,215.5,113,-137,570,569,False
18167,2023,2,Final,10/12/2022 12:00:00 AM,10/12/2022 7:00:00 PM,ATL,CLE,3,12,12,99,105,-1.5,225.0,100,-121,544,543,False
