QuarterID,GameID,Number,Name,AwayScore,HomeScore
54086,15134,1,1,,
54087,15134,2,2,,
54088,15134,3,3,,
54089,15134,4,4,,
54090,15135,1,1,29,39
54091,15135,2,2,30,33
54092,15135,3,3,33,25
54093,15135,4,4,26,21
54094,15135,5,OT,14,13
54095,15136,1,1,30,25
54096,15136,2,2,29,46
54097,15136,3,3,20,25
54098,15136,4,4,27,34
54099,15137,1,1,33,20
54100,15137,2,2,26,31
54101,15137,3,3,32,20
54102,15137,4,4,32,30
54103,15138,1,1,27,25
54104,15138,2,2,32,25
54105,15138,3,3,41,17
54106,15138,4,4,25,22
54107,15139,1,1,29,27
54108,15139,2,2,34,31
54109,15139,3,3,16,20
54110,15139,4,4,27,29
54111,15141,1,1,27,16
54112,15141,2,2,30,26
54113,15141,3,3,26,29
54114,15141,4,4,21,28
54115,15140,1,1,29,23
54116,15140,2,2,28,25
54117,15140,3,3,27,23
54118,15140,4,4,31,20
54119,15142,1,1,29,34
54120,15142,2,2,46,27
54121,15142,3,3,35,26
54122,15142,4,4,23,22
54123,15143,1,1,28,27
54124,15143,2,2,35,33
54125,15143,3,3,34,26
54126,15143,4,4,25,26
54127,15144,1,1,44,40
54128,15144,2,2,41,33
54129,15144,3,3,21,26
54130,15144,4,4,23,35
54131,15145,1,1,23,22
54132,15145,2,2,23,31
54133,15145,3,3,18,28
54134,15145,4,4,25,26
54135,15146,1,1,28,33
54136,15146,2,2,34,33
54137,15146,3,3,27,31
54138,15146,4,4,15,22
54139,15147,1,1,26,37
54140,15147,2,2,28,19
54141,15147,3,3,28,34
54142,15147,4,4,24,21
54143,15148,1,1,27,22
54144,15148,2,2,25,28
54145,15148,3,3,26,18
54146,15148,4,4,27,26
54147,15149,1,1,28,26
54148,15149,2,2,31,24
54149,15149,3,3,27,36
54150,15149,4,4,31,38
54151,15151,1,1,31,23
54152,15151,2,2,32,19
54153,15151,3,3,27,21
54154,15151,4,4,18,31
54155,15150,1,1,18,20
54156,15150,2,2,28,24
54157,15150,3,3,24,23
54158,15150,4,4,27,21
54159,15153,1,1,23,34
54160,15153,2,2,23,30
54161,15153,3,3,22,37
54162,15153,4,4,31,32
54163,15152,1,1,25,26
54164,15152,2,2,33,45
54165,15152,3,3,28,36
54166,15152,4,4,41,18
54167,15154,1,1,23,30
54168,15154,2,2,40,25
54169,15154,3,3,27,35
54170,15154,4,4,21,28
54171,15155,1,1,29,33
54172,15155,2,2,28,22
54173,15155,3,3,27,32
54174,15155,4,4,30,24
54175,15156,1,1,16,29
54176,15156,2,2,21,22
54177,15156,3,3,33,25
54178,15156,4,4,18,29
54179,15158,1,1,23,29
54180,15158,2,2,29,32
54181,15158,3,3,29,15
54182,15158,4,4,30,15
54183,15157,1,1,31,35
54184,15157,2,2,33,35
54185,15157,3,3,37,41
54186,15157,4,4,22,32
54187,15160,1,1,19,24
54188,15160,2,2,21,29
54189,15160,3,3,21,28
54190,15160,4,4,26,24
54191,15161,1,1,35,11
54192,15161,2,2,27,23
54193,15161,3,3,21,21
54194,15161,4,4,17,20
54195,15159,1,1,30,23
54196,15159,2,2,29,26
54197,15159,3,3,31,29
54198,15159,4,4,15,31
54199,15162,1,1,24,30
54200,15162,2,2,41,17
54201,15162,3,3,26,24
54202,15162,4,4,24,28
54203,15163,1,1,33,14
54204,15163,2,2,25,25
54205,15163,3,3,30,27
54206,15163,4,4,12,21
54207,15164,1,1,35,34
54208,15164,2,2,32,25
54209,15164,3,3,33,30
54210,15164,4,4,27,39
54211,15165,1,1,31,24
54212,15165,2,2,30,31
54213,15165,3,3,38,27
54214,15165,4,4,19,29
54215,15166,1,1,19,20
54216,15166,2,2,17,27
54217,15166,3,3,25,23
54218,15166,4,4,16,21
54219,15167,1,1,32,33
54220,15167,2,2,33,25
54221,15167,3,3,38,31
54222,15167,4,4,31,29
54223,15168,1,1,17,22
54224,15168,2,2,9,37
54225,15168,3,3,17,27
54226,15168,4,4,29,32
54227,15169,1,1,16,27
54228,15169,2,2,40,39
54229,15169,3,3,35,16
54230,15169,4,4,32,32
54231,15171,1,1,28,21
54232,15171,2,2,25,17
54233,15171,3,3,39,23
54234,15171,4,4,13,30
54235,15172,1,1,27,26
54236,15172,2,2,28,26
54237,15172,3,3,29,31
54238,15172,4,4,31,25
54239,15170,1,1,26,14
54240,15170,2,2,31,31
54241,15170,3,3,33,27
54242,15170,4,4,36,22
54243,15173,1,1,34,32
54244,15173,2,2,15,25
54245,15173,3,3,20,34
54246,15173,4,4,18,29
54247,15174,1,1,28,18
54248,15174,2,2,30,29
54249,15174,3,3,32,38
54250,15174,4,4,30,14
54251,15175,1,1,19,29
54252,15175,2,2,19,28
54253,15175,3,3,19,25
54254,15175,4,4,13,25
54255,15176,1,1,37,38
54256,15176,2,2,41,26
54257,15176,3,3,23,28
54258,15176,4,4,27,23
54259,15177,1,1,39,30
54260,15177,2,2,27,22
54261,15177,3,3,19,21
54262,15177,4,4,22,29
54263,15178,1,1,17,28
54264,15178,2,2,31,27
54265,15178,3,3,24,32
54266,15178,4,4,26,17
54267,15179,1,1,27,19
54268,15179,2,2,28,25
54269,15179,3,3,39,33
54270,15179,4,4,24,18
54271,15181,1,1,25,30
54272,15181,2,2,22,21
54273,15181,3,3,21,27
54274,15181,4,4,18,28
54275,15180,1,1,27,20
54276,15180,2,2,24,28
54277,15180,3,3,32,37
54278,15180,4,4,36,26
54279,15182,1,1,25,28
54280,15182,2,2,36,30
54281,15182,3,3,28,30
54282,15182,4,4,27,22
54283,15184,1,1,27,25
54284,15184,2,2,34,29
54285,15184,3,3,19,17
54286,15184,4,4,20,25
54287,15185,1,1,27,28
54288,15185,2,2,25,31
54289,15185,3,3,46,28
54290,15185,4,4,26,32
54291,15183,1,1,36,22
54292,15183,2,2,29,29
54293,15183,3,3,32,28
54294,15183,4,4,31,35
54295,15186,1,1,38,32
54296,15186,2,2,29,33
54297,15186,3,3,27,21
54298,15186,4,4,32,32
54299,15187,1,1,20,33
54300,15187,2,2,25,38
54301,15187,3,3,31,33
54302,15187,4,4,17,22
54303,15188,1,1,27,26
54304,15188,2,2,23,23
54305,15188,3,3,33,26
54306,15188,4,4,24,23
54307,15190,1,1,22,23
54308,15190,2,2,20,33
54309,15190,3,3,31,33
54310,15190,4,4,23,29
54311,15189,1,1,20,24
54312,15189,2,2,22,27
54313,15189,3,3,22,28
54314,15189,4,4,29,32
54315,15191,1,1,32,28
54316,15191,2,2,23,32
54317,15191,3,3,29,27
54318,15191,4,4,20,23
54319,15192,1,1,32,13
54320,15192,2,2,23,22
54321,15192,3,3,21,24
54322,15192,4,4,26,28
54323,15193,1,1,27,29
54324,15193,2,2,27,15
54325,15193,3,3,40,21
54326,15193,4,4,18,28
54327,15194,1,1,28,28
54328,15194,2,2,46,25
54329,15194,3,3,27,31
54330,15194,4,4,22,23
54331,15196,1,1,34,28
