TeamID,[Key],Active,City,Name,LeagueID,StadiumID,Conference,Division,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl
1,WAS,True,Washington,Wizards,3,1,Eastern,Southeast,002B5C,E31837,C4CED4,FFFFFF,https://upload.wikimedia.org/wikipedia/en/0/02/Washington_Wizards_logo.svg,
2,CHA,True,Charlotte,Hornets,3,2,Eastern,Southeast,1D1160,00788C,A1A1A4,7AB2DD,https://upload.wikimedia.org/wikipedia/en/c/c4/Charlotte_Hornets_%282014%29.svg,
3,ATL,True,Atlanta,Hawks,3,3,Eastern,Southeast,C8102E,FDB927,000000,9EA2A2,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg,
4,MIA,True,Miami,Heat,3,4,Eastern,Southeast,000000,98002E,F9A01B,,https://upload.wikimedia.org/wikipedia/en/f/fb/Miami_Heat_logo.svg,
5,ORL,True,Orlando,Magic,3,5,Eastern,Southeast,0077C0,000000,C4CED4,,https://upload.wikimedia.org/wikipedia/en/1/10/Orlando_Magic_logo.svg,
6,NY,True,New York,Knicks,3,6,Eastern,Atlantic,006BB6,F58426,BEC0C2,000000,https://upload.wikimedia.org/wikipedia/en/2/25/New_York_Knicks_logo.svg,
7,PHI,True,Philadelphia,76ers,3,7,Eastern,Atlantic,006BB6,ED174C,002B5C,C4CED4,https://upload.wikimedia.org/wikipedia/en/0/0e/Philadelphia_76ers_logo.svg,
8,BKN,True,Brooklyn,Nets,3,8,Eastern,Atlantic,000000,FFFFFF,707271,,https://upload.wikimedia.org/wikipedia/commons/4/44/Brooklyn_Nets_newlogo.svg,
9,BOS,True,Boston,Celtics,3,9,Eastern,Atlantic,008348,BB9753,000000,FFFFFF,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg,
10,TOR,True,Toronto,Raptors,3,10,Eastern,Atlantic,CE1141,000000,A1A1A4,B4975A,https://upload.wikimedia.org/wikipedia/en/3/36/Toronto_Raptors_logo.svg,
11,CHI,True,Chicago,Bulls,3,11,Eastern,Central,CE1141,000000,,,https://upload.wikimedia.org/wikipedia/en/6/67/Chicago_Bulls_logo.svg,
12,CLE,True,Cleveland,Cavaliers,3,12,Eastern,Central,860038,BC945C,000000,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Cleveland_Cavaliers_logo.svg/1024px-Cleveland_Cavaliers_logo.svg.png,
13,IND,True,Indiana,Pacers,3,13,Eastern,Central,002D62,FDBB30,BEC0C2,,https://upload.wikimedia.org/wikipedia/en/1/1b/Indiana_Pacers.svg,
