StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
807202,3,2,2021,Atlanta Hawks,ATL,2,2,4,872.00,967,10,146.00,365.00,40.0,95.00,207.00,45.9,51.00,158.00,32.3,113.00,142.00,79.6,47.00,168.00,215.00,96.00,29.00,13.00,70.00,99.00,456.00,914.00,946.25,-83.00,2.00,0.00
813183,3,1,2021,Atlanta Hawks,ATL,41,31,72,15507.50,17405,32,2937.00,6281.00,46.8,2042.00,3879.00,52.6,895.00,2402.00,37.3,1417.00,1745.00,81.2,760.00,2525.00,3285.00,1737.00,503.00,341.00,914.00,1392.00,8186.00,16351.50,16729.25,833.00,101.00,1.00
888752,3,3,2021,Atlanta Hawks,ATL,10,8,18,3560.60,4319,21,701.00,1562.00,44.9,490.00,947.00,51.7,211.00,615.00,34.3,300.00,376.00,79.8,164.00,599.00,763.00,364.00,121.00,79.00,214.00,382.00,1913.00,3760.60,3842.75,-135.00,21.00,0.00
888398,8,3,2021,Brooklyn Nets,BKN,7,5,12,2530.70,2904,32,488.00,1034.00,47.2,325.00,606.00,53.6,163.00,428.00,38.1,211.00,243.00,86.8,99.00,412.00,511.00,271.00,85.00,60.00,129.00,254.00,1350.00,2675.70,2724.75,380.00,13.00,2.00
808300,8,2,2021,Brooklyn Nets,BKN,2,0,2,451.30,480,0,76.00,162.00,46.9,46.00,97.00,47.4,30.00,65.00,46.2,50.00,72.00,69.4,13.00,81.00,94.00,49.00,18.00,16.00,35.00,39.00,232.00,485.30,488.50,145.00,0.00,0.00
812077,8,1,2021,Brooklyn Nets,BKN,48,24,72,16051.30,17404,57,3106.00,6289.00,49.4,2086.00,3689.00,56.5,1020.00,2600.00,39.2,1305.00,1623.00,80.4,640.00,2559.00,3199.00,1929.00,484.00,379.00,944.00,1371.00,8537.00,16914.30,17320.75,1620.00,73.00,12.00
813163,9,1,2021,Boston Celtics,BOS,36,36,72,15379.70,17380,30,2985.00,6401.00,46.6,2006.00,3783.00,53.0,979.00,2618.00,37.4,1160.00,1496.00,77.5,765.00,2421.00,3186.00,1689.00,556.00,383.00,964.00,1471.00,8109.00,16318.70,16572.00,525.00,40.00,1.00
809358,9,2,2021,Boston Celtics,BOS,0,2,2,374.50,480,0,68.00,175.00,38.9,49.00,91.00,53.8,19.00,84.00,22.6,33.00,43.00,76.7,23.00,67.00,90.00,37.00,20.00,12.00,41.00,49.00,188.00,406.50,409.00,-165.00,0.00,0.00
886936,9,3,2021,Boston Celtics,BOS,2,4,6,1263.90,1439,48,230.00,538.00,42.8,151.00,309.00,48.9,79.00,229.00,34.5,140.00,169.00,82.8,78.00,179.00,257.00,125.00,40.00,40.00,71.00,122.00,679.00,1343.90,1356.25,-190.00,3.00,0.00
813176,2,1,2021,Charlotte Hornets,CHA,33,39,72,15358.70,17354,52,2875.00,6324.00,45.5,1890.00,3658.00,51.7,985.00,2666.00,36.9,1146.00,1505.00,76.1,762.00,2389.00,3151.00,1933.00,565.00,344.00,1021.00,1297.00,7881.00,16267.70,16600.25,-695.00,53.00,1.00
